店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議,周遭潛點,連結,星級,評論數量,AI評論,評論連結,預覽圖路徑
水青潛水旅宿,Water blue,東部地區,臺東縣,951臺東縣綠島鄉漁港16-2號,22.66256666,121.4734194,07:00,23:00,15:00,null,null,10:00,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→水青潛水旅宿,石朗保護區、海底郵筒、十字架,https://www.instagram.com/waterblue_dive/,5,84,1.教練人很好\n2.住宿氣氛很友善\n3.房間乾淨,"https://www.google.com/search?q=%E6%B0%B4%E9%9D%92%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B0%B4%E9%9D%92%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMhAIARAuGK8BGMcBGIAEGJgFMgYIAhAjGCcyBwgDEAAYgAQyBggEEAAYHjIGCAUQABgeMgYIBhAAGB7SAQcyMTlqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d972193fa69:0x9623e7d5cbd81484,1,,,,",img/store_img/74.jpg
Diving.come,Diving.come,東部地區,臺東縣,951臺東縣綠島鄉漁港1-60號,22.65512605,121.4750758,08:00,18:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→Diving.come,石朗保護區、海底郵筒、十字架,https://www.facebook.com/Dive.come1919/,null,null,無,無,img/store_img/75.jpg
夏潛趣潛水中心,Summer Fun Diving Center,東部地區,臺東縣,951臺東縣綠島鄉中寮35-1號,22.6743342,121.4702112,08:00,17:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→夏潛趣潛水中心,石朗保護區、海底郵筒、十字架,https://www.facebook.com/summerfundivingcenter/?locale=zh_TW,5,2,1.專業潛店教導仔細\n2.潛店老闆娘提供手作甜點\n3.潛店老闆娘招待薑茶,"https://www.google.com/search?q=%E5%A4%8F%E6%BD%9B%E8%B6%A3%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%A4%8F%E6%BD%9B%E8%B6%A3%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDsyBggCEEUYPdIBBzU1NWowajSoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d05ca083fcd:0x25384000a7441b0,1,,,,",img/store_img/76.png
綠島-潛很大 Dive La Vie, Dive La Vie,東部地區,臺東縣,"臺東縣綠島鄉中寮村, Taitung, Taiwan",22.67279072,121.4717638,09:00,17:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島-潛很大 Dive La Vie,石朗保護區、海底郵筒、十字架,https://www.instagram.com/divelavie/,5,13,1.綠島海膽很大顆\n2.教練很專業\n3.老闆人很好，提供私人景點和水上活動,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6-%E6%BD%9B%E5%BE%88%E5%A4%A7+Dive+La+Vie&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6-%E6%BD%9B%E5%BE%88%E5%A4%A7+Dive+La+Vie&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgkIARAAGAoYgAQyCQgCEAAYChiABDIGCAMQRRg70gEHMTc1ajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346f8defaa199f31:0xfebb9511c8251d07,1,,,,",img/store_img/77.jpg
綠島 樂潛殿,HAPPY DIVING,東部地區,臺東縣,951臺東縣綠島鄉漁港2之7號,22.65721508,121.4752099,09:00,21:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島樂潛殿,藍洞、鋼鐵礁、大白沙,https://www.facebook.com/GreenislandHappyDiving/?locale=zh_TW,4.8,29,1.教練很棒，推薦！\n2.教練很幽默很有趣\n3.教練細心照顧大家,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6+%E6%A8%82%E6%BD%9B%E6%AE%BF&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6+%E6%A8%82%E6%BD%9B%E6%AE%BF&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIGCAMQRRg70gEHMzUzajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d67949c69ab:0xe073d2a16edbc96a,1,,,,",img/store_img/78.jpg
五米的藍潛水工作室,Underblue5,東部地區,臺東縣,951臺東縣綠島鄉柴口170-2號,22.677346,121.4861092,08:00,18:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→五米的藍潛水工作室,藍洞、鋼鐵礁、大白沙,https://www.underblue5.com/about-us,5,17,1.教練非常細心且專業\n2.提供美照和愉快的體驗\n3.耐心指導潛水知識和技巧,"https://www.google.com/search?q=%E4%BA%94%E7%B1%B3%E7%9A%84%E8%97%8D%E6%BD%9B%E6%B0%B4%E5%B7%A5%E4%BD%9C%E5%AE%A4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E4%BA%94%E7%B1%B3%E7%9A%84%E8%97%8D%E6%BD%9B%E6%B0%B4%E5%B7%A5%E4%BD%9C%E5%AE%A4&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDvSAQc2NzdqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d9f12298c55:0x782c0a4214a791a7,1,,,,",img/store_img/79.jpg
綠島野蠻紮實潛水社,Just Wild Dive Center,東部地區,臺東縣,951303臺東縣綠島鄉公館1之10號,22.67683566,121.4892855,08:00,20:00,14:00,22:00,04:00,10:00,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島野蠻紮實潛水社,藍洞、鋼鐵礁、大白沙,https://sites.google.com/view/justwilddivecenter/%E9%A6%96%E9%A0%81/%E8%AA%8D%E8%AD%98%E9%87%8E%E8%A0%BB,5,6,1.女教練細心指導，讓第一次潛水的我感到安心\n2.1對1的教學讓初學者更有安全感\n3.綠島擁有漂亮的海景和多樣的潛點,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E9%87%8E%E8%A0%BB%E7%B4%AE%E5%AF%A6%E6%BD%9B%E6%B0%B4%E7%A4%BE&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBg_GkrVU5JjgxO_vqHAJuGDYCHahA%3A1691637204885&ei=1FXUZLXbNY3d1e8PvIWzkA4&ved=0ahUKEwi1lb7Vj9GAAxWNbvUHHbzCDOIQ4dUDCA8&uact=5&oq=%E7%B6%A0%E5%B3%B6%E9%87%8E%E8%A0%BB%E7%B4%AE%E5%AF%A6%E6%BD%9B%E6%B0%B4%E7%A4%BE&gs_lp=Egxnd3Mtd2l6LXNlcnAiG-e2oOWztumHjuigu-e0ruWvpua9m-awtOekvjIEECMYJ0jcCVDzB1jzB3ABeACQAQCYAVmgAVmqAQExuAEDyAEA-AEB-AECqAIKwgIHECMY6gIYJ-IDBBgAIEGIBgE&sclient=gws-wiz-serp#lrd=0x346f8de3797208d7:0x1f8a195806dbe524,1,,,,",img/store_img/80.jpg
綠島-飛航模室潛水旅宿 Green lsland Airplane mode Hostel, Green lsland Airplane mode Hostel,東部地區,臺東縣,951臺東縣綠島鄉南寮205-1號,22.67152587,121.4675795,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島-飛航模室潛水旅宿 Green lsland Airplane mode Hostel,藍洞、鋼鐵礁、大白沙,https://www.facebook.com/Airplanemodehostel/,4.8,148,1.房間可愛舒適\n2.服務態度好\n3.環境乾淨舒適,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6-%E9%A3%9B%E8%88%AA%E6%A8%A1%E5%AE%A4%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF+Green+lsland+Airplane+mode+Hostel&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6-%E9%A3%9B%E8%88%AA%E6%A8%A1%E5%AE%A4%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF+Green+lsland+Airplane+mode+Hostel&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgcIARAAGKIEMgcIAhAAGKIEMgcIAxAAGKIEMgcIBBAAGKIE0gEHOTkyajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346f8dcd9af6c685:0x7982cc6fb146da3e,1,,,,",img/store_img/81.jpg
綠島 海遇潛水,Seagather,東部地區,臺東縣,951臺東縣綠島鄉221號,22.6742334,121.4746542,08:00,22:00,14:00,null,null,10:00,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島 海遇潛水,藍洞、鋼鐵礁、大白沙,https://2022seagather.weebly.com/,5,88,1.地理位置優越，靠近潛點且離市區方便。\n2.住宿環境整潔，提供舒適的床位和公共空間。\n3.潛水教練細心耐心，提供優質的潛水體驗和考證服務。,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6+%E6%B5%B7%E9%81%87%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6+%E6%B5%B7%E9%81%87%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDvSAQcxMjdqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d14c5a958d3:0x9ac1287aa35b5733,1,,,,",img/store_img/82.jpg
勝宏浮潛,null,東部地區,臺東縣,951臺東縣綠島鄉漁港7號,22.66086106,121.4746683,08:00,21:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→勝宏浮潛,藍洞、鋼鐵礁、大白沙,https://www.facebook.com/people/%E7%B6%A0%E5%B3%B6%E5%8B%9D%E5%AE%8F%E6%B5%AE%E6%BD%9B%E7%A4%BE/100064026726140/,3.6,25,1.租車條件很好\n2.老闆很會安排活動行程\n3.浮潛教練很好，海底世界很美,"https://www.google.com/search?q=%E5%8B%9D%E5%AE%8F%E6%B5%AE%E6%BD%9B&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%8B%9D%E5%AE%8F%E6%B5%AE%E6%BD%9B&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgcIAhAAGIAEMgYIAxAAGB7SAQc0MTNqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d0953b70811:0x80c6b48d2f1da3c5,1,,,,",img/store_img/83.jpg
Hao想潛水,Hao,東部地區,臺東縣,951臺東縣綠島鄉188～3號,22.67723646,121.4888554,09:00,17:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→Hao想潛水 ,藍洞、鋼鐵礁、大白沙,https://www.facebook.com/HaosDiving/,5,35,1.豪哥的行程講解清楚，教導仔細\n2.他提供美味的食物和咖啡，讓潛水旅程更加享受\n3.豪哥是一位貼心的教練，關心潛水者的狀況，幫助他們拍照和體驗生態,"https://www.google.com/search?q=Hao%E6%83%B3%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=Hao%E6%83%B3%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDvSAQc1NjVqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x3471e5515237873f:0x404aa9f365a7781e,1,,,,",img/store_img/84.jpg
Koh ocean · 嶼海 綠島自由潛水旅宿,Koh ocean ,東部地區,臺東縣,951臺東縣綠島鄉16號,22.67561686,121.4903798,08:00,21:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→Koh ocean · 嶼海 綠島自由潛水旅宿,藍洞、鋼鐵礁、大白沙,https://www.kohocean.com/,5,43,1.小花教練與助教Mo Mo非常專業且溫柔\n2.教練帶領學生去適合他們能力的潛點\n3.Koh ocean是一個溫馨友善的潛店,"https://www.google.com/search?q=Koh+ocean+%C2%B7+%E5%B6%BC%E6%B5%B7+%E7%B6%A0%E5%B3%B6%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF&rlz=1C1CHBF_zh-TWTW901TW901&oq=Koh+ocean+%C2%B7+%E5%B6%BC%E6%B5%B7+%E7%B6%A0%E5%B3%B6%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgcIARAAGIAEMgYIAhBFGDvSAQcyMDlqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d81da41859f:0x7e1ca005cde7a866,1,,,,",img/store_img/85.jpg
綠島海灣會館,null,東部地區,臺東縣,951臺東縣綠島鄉漁港路10之5號,22.66106982,121.4744906,00:00,23:59,15:00,null,null,10:00,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島海灣會館,藍洞、鋼鐵礁、大白沙,https://www.gibresort.com/about/,4.7,359,1.海灣會館潛水考照兼住宿是超讚的組合\n2.地點方便，離熱鬧的大街不遠\n3.提供免費接送服務，免費冰礦泉水,https://www.google.com/travel/search?q=%E7%B6%A0%E5%B3%B6%E6%B5%B7%E7%81%A3%E6%9C%83%E9%A4%A8&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwOTU3MTM2MTI3OjB4NDNiNWQ3N2U3MjMzMThjMBIaEhQKBwjnDxAIGBQSBwjnDxAIGBUYATICEAA&qs=CAEyE0Nnb0l3TEhNa2VmdjlkcERFQUU4AkILCcAYM3J-17VDGAFCCwnAGDNyfte1QxgB&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwjQwd7AltGAAxUAAAAAHQAAAAAQCw,img/store_img/86.jpg
洄遊潛水Migration Diving,Migration Diving,東部地區,臺東縣,951臺東縣綠島鄉環島公路,22.6475076,121.49881,07:00,18:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→洄遊潛水Migration Diving,藍洞、鋼鐵礁、大白沙,https://www.facebook.com/migrationdiving/,5,44,1.教練耐心專業，帶領初學者掌握潛水技巧\n2.提供美味的晚餐和舒適的住宿\n3.綠島的潛店環境與國內不同，值得一試,"https://www.google.com/search?q=%E6%B4%84%E9%81%8A%E6%BD%9B%E6%B0%B4Migration+Diving&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B4%84%E9%81%8A%E6%BD%9B%E6%B0%B4Migration+Diving&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDvSAQcxNTNqMGo0qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d96ef181d8d:0xa9009a40655f4926,1,,,,",img/store_img/87.png
綠島微風潛水度假中心,null,東部地區,臺東縣,臺東縣綠島南寮村漁港1-58號號,22.6553435,121.4752009,08:00,22:00,14:00,null,null,10:00,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島微風潛水度假中心,藍洞、鋼鐵礁、大白沙,http://sonychris.ludao.tw/index.html,4.7,83,1.住宿方便，靠近石朗和碼頭\n2.教練專業指導，仔細講解，拍照技術好\n3.愉快的潛水體驗，美麗的海底景點,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E5%BE%AE%E9%A2%A8%E6%BD%9B%E6%B0%B4%E5%BA%A6%E5%81%87%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6%E5%BE%AE%E9%A2%A8%E6%BD%9B%E6%B0%B4%E5%BA%A6%E5%81%87%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgcIAhAAGIAEMgcIAxAAGIAE0gEHNTUwajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d0e1a8590bb:0x47e7b478d55f8988,1,,,,",img/store_img/88.jpg
佈拉咖潛旅,plakahome,東部地區,臺東縣,951臺東縣綠島鄉中寮54-3號,22.6732155,121.4732324,null,null,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→佈拉咖潛旅,藍洞、鋼鐵礁、大白沙,https://www.instagram.com/plakahome/,5,8,1.綠島真的很漂亮\n2.佈拉咖潛水是最讚的選擇\n3.乾淨整潔又舒適的住宿環境,"https://www.google.com/search?q=%E4%BD%88%E6%8B%89%E5%92%96%E6%BD%9B%E6%97%85&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E4%BD%88%E6%8B%89%E5%92%96%E6%BD%9B%E6%97%85&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDsyBggCEEUYPdIBBzE5M2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346f8dda3e38af57:0xcddb7aef7b4223e0,1,,,,",img/store_img/89.png
綠島玉米-潛水住宿Diveholix Homestay,Diveholix Homestay,東部地區,臺東縣,951臺東縣綠島鄉南寮17號,22.6652242,121.4715971,08:00,20:00,15:00,null,null,10:00,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島玉米-潛水住宿Diveholix Homestay,藍洞、鋼鐵礁、大白沙,https://www.facebook.com/people/%E7%B6%A0%E5%B3%B6%E7%8E%89%E7%B1%B3-%E6%BD%9B%E6%B0%B4%E4%BD%8F%E5%AE%BFDiveholix-Homestay/100057112133762/,5,55,1.經驗豐富且細心的教練\n2.房間乾淨舒適\n3.優質的服務和友好的員工,https://www.google.com/travel/search?q=%E7%B6%A0%E5%B3%B6%E7%8E%89%E7%B1%B3-%E6%BD%9B%E6%B0%B4%E4%BD%8F%E5%AE%BFDiveholix%20Homestay&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwOTNjM2VjZmEzOjB4Y2RkYzIwYWM1NDlmOGY4MxIaEhQKBwjnDxAIGA4SBwjnDxAIGA8YATICEAA&qs=CAEyFENnc0lnNV8tcE1XVmlPN05BUkFCOAJCCwmDj59UrCDczRgBQgsJg4-fVKwg3M0YAQ&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwjA7J2TsdGAAxUAAAAAHQAAAAAQBQ,img/store_img/90.jpg
海島旅人 Diving Hostel ,Diving Hostel,東部地區,臺東縣,951臺東縣綠島鄉漁港路11號,22.66125749,121.4743447,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→海島旅人 Diving Hostel,藍洞、石朗、樓門岩,https://0965318813.ego.tw/,5,333,1.環境好交通方便\n2.教練真的非常用心\n3.教練很專業，讓我有非常開心的體驗,"https://www.google.com/search?q=%E6%B5%B7%E5%B3%B6%E6%97%85%E4%BA%BA+Diving+Hostel&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B5%B7%E5%B3%B6%E6%97%85%E4%BA%BA+Diving+Hostel&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARAjGCcyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgATSAQc1NDVqMGo0qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d84fb2442db:0x5a5cbcd7f4e8e26c,1,,,,",img/store_img/91.png
綠島快樂潛水民宿,Happy Dive B&B,東部地區,臺東縣,95141臺東縣綠島鄉南寮村一鄰南寮19號,22.66496176,121.471285,09:00,22:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島快樂潛水民宿,公館鼻後礁、大白沙潛水區、柚子湖,https://www.happydive.tw/,5,262,1.親切的老闆娘和船長\n2.絕佳的位置和一流的海景\n3.老闆兼教練，特別照料學員,https://www.google.com/travel/search?q=%E7%B6%A0%E5%B3%B6%E5%BF%AB%E6%A8%82%E6%BD%9B%E6%B0%B4%E6%B0%91%E5%AE%BF&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwYWY1ZjI5NzczOjB4YWExYmMyMzY2OTQ2YWJmMBIaEhQKBwjnDxAIGA4SBwjnDxAIGA8YATICEAA&qs=CAEyFENnc0k4TmVheXViRzhJMnFBUkFCOAJCCwnwq0ZpNsIbqhgBQgsJ8KtGaTbCG6oYAQ&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwjY0qCLtNGAAxUAAAAAHQAAAAAQDA,img/store_img/92.jpg
月光城堡潛水中心(Mooncastle Dive Center),Moon Castle,東部地區,臺東縣,951臺東縣綠島鄉漁港121號,22.65648565,121.4752591,null,null,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→月光城堡潛水中心,三塊石、柴口浮潛區、海底郵筒&海洋之心,http://mooncastle.ludao.tw/,4.7,122,1.該位置靠近港口，方便前往景點和潛水\n2.房間設計有色彩，窗外海景療愈身心\n3.潛水教練專業，提供一對一教學，讓害怕水的人也能放鬆享受,https://www.google.com/travel/search?q=%E6%9C%88%E5%85%89%E5%9F%8E%E5%A0%A1%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83(Mooncastle%20Dive%20Center)&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwZTZjZWIyM2RkOjB4ZTViZWNmNzNkZTE5ZDczMBIaEhQKBwjnDxAIGBASBwjnDxAIGBEYATICEAA&qs=CAEyFENnc0lzSzduOEwzdXM5X2xBUkFCOAJCCwkw1xnec8--5RgBQgsJMNcZ3nPPvuUYAQ&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwiwr4DztNGAAxUAAAAAHQAAAAAQCw,img/store_img/93.jpg
過日子民宿&綠島阿禧潛水俱樂部,null,東部地區,臺東縣,951臺東縣綠島鄉柴口55-1號,22.67466231,121.4805882,null,null,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→過日子民宿&綠島阿禧潛水俱樂部,公館鼻後礁、三塊石、柴口浮潛區,http://ahsilife.okgo.tw/,4.8,104,1.友好的老闆和老闆娘\n2.潛水教練讚\n3.教練很親切,https://www.google.com/travel/search?q=%E9%81%8E%E6%97%A5%E5%AD%90%E6%B0%91%E5%AE%BF%26%E7%B6%A0%E5%B3%B6%E9%98%BF%E7%A6%A7%E6%BD%9B%E6%B0%B4%E4%BF%B1%E6%A8%82%E9%83%A8&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGRhZmZiYjFlYWJmOjB4YWE5MzhhNGEwMzEzNzBiOBIaEhQKBwjnDxAKGBESBwjnDxAKGBIYATICEAA&qs=CAEyFENnc0l1T0hObUtESjRzbXFBUkFCOAJCCwm4cBMDSoqTqhgBQgsJuHATA0qKk6oYAQ&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwiooafzuNGAAxUAAAAAHQAAAAAQCw,img/store_img/94.jpg
